image,coder,noise_kind,std,variance,pcc,cr,log_cr,psnr,haar_psi
fr02.bmp,JPEG,gaussian,5,25,12.0,17.15602094240838,1.2344165677119905,26.060099997577986,0.7154402136802673
fr02.bmp,JPEG,gaussian,5,25,13.0,16.15181762168823,1.2082214021254296,26.291961579764443,0.7339434623718262
fr02.bmp,JPEG,gaussian,5,25,14.0,15.405735778091207,1.187682445056989,26.505403908167537,0.7494558095932007
fr02.bmp,JPEG,gaussian,5,25,15.0,14.662937688779506,1.1662209890100081,26.691187810639242,0.7608475685119629
fr02.bmp,JPEG,gaussian,5,25,16.0,13.992953987402583,1.1459094060576214,26.869624701252487,0.7724152207374573
fr02.bmp,JPEG,gaussian,5,25,17.0,13.419196314307653,1.1277265063908584,27.025358205209827,0.7828662991523743
fr02.bmp,JPEG,gaussian,5,25,18.0,12.880503144654089,1.1099328279833416,27.18910397892313,0.7933906316757202
fr02.bmp,JPEG,gaussian,5,25,19.0,12.4610923610781,1.095556115003264,27.317066702680677,0.8001440167427063
fr02.bmp,JPEG,gaussian,5,25,20.0,12.060915573959052,1.0813802774248058,27.44782863086006,0.8074687719345093
fr02.bmp,JPEG,gaussian,5,25,21.0,11.639980462679278,1.0659522513656134,27.581565682048456,0.81559157371521
fr02.bmp,JPEG,gaussian,5,25,22.0,11.287633482604203,1.0526028991280443,27.699979982434005,0.8230056166648865
fr02.bmp,JPEG,gaussian,5,25,23.0,10.94318513880192,1.0391437467574973,27.80180515785641,0.8283747434616089
fr02.bmp,JPEG,gaussian,5,25,24.0,10.607105284454155,1.0255968796116004,27.902036561363566,0.8329216241836548
fr02.bmp,JPEG,gaussian,5,25,25.0,10.327135203277654,1.0139798628593057,27.995710194317116,0.8359086513519287
fr02.bmp,JPEG,gaussian,5,25,26.0,10.050377640608826,1.0021823805775276,28.096487102416013,0.840296745300293
fr02.bmp,JPEG,gaussian,5,25,27.0,9.788432097382472,0.9907131324581379,28.180897165095544,0.8442580699920654
fr02.bmp,JPEG,gaussian,5,25,28.0,9.523851044504996,0.9788125943078722,28.279695423759286,0.8492192029953003
fr02.bmp,JPEG,gaussian,5,25,29.0,9.328304035299979,0.9698026925072708,28.350659883879786,0.8516236543655396
fr02.bmp,JPEG,gaussian,5,25,30.0,9.11361424002225,0.9596906418703828,28.443351625503293,0.8547431230545044
fr02.bmp,JPEG,gaussian,5,25,31.0,8.914036996735582,0.9500744322456443,28.52189318323346,0.8571364879608154
fr02.bmp,JPEG,gaussian,5,25,32.0,8.720691949434464,0.9405509457007721,28.594079284136985,0.8587236404418945
fr02.bmp,JPEG,gaussian,5,25,33.0,8.513656587964016,0.9301161282277577,28.681644514012387,0.8626953363418579
fr02.bmp,JPEG,gaussian,5,25,34.0,8.394786562910301,0.924009658695788,28.74399751635448,0.8645740747451782
fr02.bmp,JPEG,gaussian,5,25,35.0,8.181772784019975,0.9128474145394615,28.82764079567241,0.8667850494384766
fr02.bmp,JPEG,gaussian,5,25,36.0,8.021787692401848,0.9042711635994443,28.919177785913163,0.870796263217926
fr02.bmp,JPEG,gaussian,5,25,37.0,7.934140435835351,0.8994998833033169,28.964665348670362,0.8720945119857788
fr02.bmp,JPEG,gaussian,5,25,38.0,7.747029966310065,0.8891352358657731,29.044992025574587,0.8739287853240967
fr02.bmp,JPEG,gaussian,5,25,39.0,7.630002619553512,0.8825246870580836,29.103689917243656,0.876615583896637
fr02.bmp,JPEG,gaussian,5,25,40.0,7.555235322938582,0.878247995857317,29.141069290261193,0.877431333065033
fr02.bmp,JPEG,gaussian,5,25,41.0,7.361734392990536,0.86698014430605,29.230042264986423,0.8797144293785095
fr02.bmp,JPEG,gaussian,5,25,42.0,7.282384643164709,0.8622736138992503,29.267083535407387,0.8801184892654419
fr02.bmp,JPEG,gaussian,5,25,43.0,7.174950733523101,0.8558189233527174,29.324548449794896,0.8808522820472717
fr02.bmp,JPEG,gaussian,5,25,44.0,7.023658334003161,0.8465633771483188,29.395729002093663,0.8834754824638367
fr02.bmp,JPEG,gaussian,5,25,45.0,6.935576897637379,0.8410825912983031,29.43457298534966,0.884813666343689
fr02.bmp,JPEG,gaussian,5,25,46.0,6.799750985681677,0.8324930086585095,29.505272098693478,0.8867575526237488
fr02.bmp,JPEG,gaussian,5,25,47.0,6.73614965566862,0.8284117272310639,29.553531505383262,0.8877196311950684
fr02.bmp,JPEG,gaussian,5,25,48.0,6.644463031962082,0.8224598894655653,29.591338911094883,0.8885573744773865
fr02.bmp,JPEG,gaussian,5,25,49.0,6.505298161153436,0.8132672066279848,29.64889927916655,0.8906016945838928
fr02.bmp,JPEG,gaussian,5,25,50.0,6.4618418457897855,0.8103563244118448,29.68654088436559,0.8909371495246887
fr02.bmp,JPEG,gaussian,5,25,51.0,6.420219930934829,0.8075499055073893,29.72452331205752,0.8909167051315308
fr02.bmp,JPEG,gaussian,5,25,52.0,6.284015725381149,0.7982372631657896,29.79140711523236,0.8928252458572388
fr02.bmp,JPEG,gaussian,5,25,53.0,6.188041451266435,0.7915532142057375,29.83934702999884,0.8942627906799316
fr02.bmp,JPEG,gaussian,5,25,54.0,6.116428288107516,0.7864978882264493,29.889803543866563,0.8948844075202942
fr02.bmp,JPEG,gaussian,5,25,55.0,6.03476138953475,0.7806601030568923,29.94532088998225,0.8960015177726746
fr02.bmp,JPEG,gaussian,5,25,56.0,5.932738876567239,0.7732552337307459,30.0070859906588,0.8970176577568054
fr02.bmp,JPEG,gaussian,5,25,57.0,5.837226391146541,0.7662065373257568,30.06614725648489,0.8979500532150269
fr02.bmp,JPEG,gaussian,5,25,58.0,5.7297982557758305,0.7581393308773784,30.130957270034013,0.8992142081260681
fr02.bmp,JPEG,gaussian,5,25,59.0,5.66405946156173,0.7531278039494729,30.183479516174646,0.90016108751297
fr02.bmp,JPEG,gaussian,5,25,60.0,5.5906163361057795,0.7474596892128121,30.244895905018016,0.9013379812240601
fr02.bmp,JPEG,gaussian,5,25,61.0,5.476164612492166,0.738476494469713,30.312115511752545,0.9035025238990784
fr02.bmp,JPEG,gaussian,5,25,62.0,5.401912298054731,0.7325475289850732,30.373981681781,0.9046839475631714
fr02.bmp,JPEG,gaussian,5,25,63.0,5.292737588079711,0.7236803623694905,30.440283604456205,0.9056524038314819
fr02.bmp,JPEG,gaussian,5,25,64.0,5.221888010199,0.7178275536083091,30.499792033117675,0.906819224357605
fr02.bmp,JPEG,gaussian,5,25,65.0,5.108924012395003,0.7083294432493095,30.565617579911564,0.9079728722572327
fr02.bmp,JPEG,gaussian,5,25,66.0,5.025285152880284,0.7011607102335743,30.634287694010812,0.9088774919509888
fr02.bmp,JPEG,gaussian,5,25,67.0,4.937356386785701,0.6934944764656911,30.707752762617268,0.9099264144897461
fr02.bmp,JPEG,gaussian,5,25,68.0,4.820773106771121,0.683116691575075,30.794710266930817,0.911146879196167
fr02.bmp,JPEG,gaussian,5,25,69.0,4.739026683057343,0.6756891539983968,30.86840091028346,0.9121773838996887
