image,coder,noise_kind,std,pcc,cr,psnr
frisco.bmp,JPEG,gaussian,10,70.0,5.53805851906623,29.18296966714122
frisco.bmp,JPEG,gaussian,10,71.0,5.359831523850416,29.05009796992875
frisco.bmp,JPEG,gaussian,10,72.0,5.2220960576903925,28.93531421653753
frisco.bmp,JPEG,gaussian,10,73.0,5.058156137845869,28.816598859191128
frisco.bmp,JPEG,gaussian,10,74.0,4.849668849668849,28.66541213900831
frisco.bmp,JPEG,gaussian,10,75.0,4.764089050431622,28.547453523621172
frisco.bmp,JPEG,gaussian,10,76.0,4.590963222416812,28.416937679359926
frisco.bmp,JPEG,gaussian,10,77.0,4.399348851259503,28.284196219656636
frisco.bmp,JPEG,gaussian,10,78.0,4.240714378154523,28.148650769828265
frisco.bmp,JPEG,gaussian,10,79.0,4.105558252807317,28.01950962600751
frisco.bmp,JPEG,gaussian,10,80.0,3.956651673861201,27.90455152651484
frisco.bmp,JPEG,gaussian,10,81.0,3.7918245725692135,27.800780876747172
frisco.bmp,JPEG,gaussian,10,82.0,3.6565307147240977,27.680051819459198
frisco.bmp,JPEG,gaussian,10,83.0,3.494740771353535,27.602303824231626
frisco.bmp,JPEG,gaussian,10,84.0,3.362501763702364,27.521876784514557
frisco.bmp,JPEG,gaussian,10,85.0,3.247008695221344,27.470202859844598
frisco.bmp,JPEG,gaussian,10,86.0,3.0894991160872127,27.440381493675186
frisco.bmp,JPEG,gaussian,10,87.0,2.977454198516634,27.40755467843742
frisco.bmp,JPEG,gaussian,10,88.0,2.827356363989344,27.427841960774973
frisco.bmp,JPEG,gaussian,10,89.0,2.713846472384699,27.455765619779363
frisco.bmp,JPEG,gaussian,10,90.0,2.56699405607074,27.515925316153794
frisco.bmp,JPEG,gaussian,10,91.0,2.457384978814354,27.57945402440076
frisco.bmp,JPEG,gaussian,10,92.0,2.3473620115333644,27.682147232942356
frisco.bmp,JPEG,gaussian,10,93.0,2.199932863376972,27.765719768388287
frisco.bmp,JPEG,gaussian,10,94.0,2.0522487963361646,27.84867963396074
frisco.bmp,JPEG,gaussian,10,95.0,1.9022131920760468,27.91651016810283
frisco.bmp,JPEG,gaussian,10,96.0,1.7529439299207596,27.971221809436603
frisco.bmp,JPEG,gaussian,10,97.0,1.6047110964195421,28.016334018697442
frisco.bmp,JPEG,gaussian,10,98.0,1.4566954511608263,28.044316926756842
frisco.bmp,JPEG,gaussian,10,99.0,1.2522822488570842,28.06980497990775
frisco.bmp,HEIF,gaussian,10,1.0,292.57142857142856,28.173530533692283
frisco.bmp,HEIF,gaussian,10,2.0,292.57142857142856,28.173530533692283
frisco.bmp,HEIF,gaussian,10,3.0,259.2917903066271,28.678344883172148
frisco.bmp,HEIF,gaussian,10,4.0,259.2917903066271,28.678344883172148
frisco.bmp,HEIF,gaussian,10,5.0,226.57216940363008,29.152266331744137
frisco.bmp,HEIF,gaussian,10,6.0,226.57216940363008,29.152266331744137
frisco.bmp,HEIF,gaussian,10,7.0,201.3394777265745,29.65107373882976
frisco.bmp,HEIF,gaussian,10,8.0,201.3394777265745,29.65107373882976
frisco.bmp,HEIF,gaussian,10,9.0,172.5766951942067,30.250892066474243
frisco.bmp,HEIF,gaussian,10,10.0,172.5766951942067,30.250892066474243
frisco.bmp,HEIF,gaussian,10,11.0,145.07138904261205,30.887716085407853
frisco.bmp,HEIF,gaussian,10,12.0,145.07138904261205,30.887716085407853
frisco.bmp,HEIF,gaussian,10,13.0,125.60804983229517,31.456150096111394
frisco.bmp,HEIF,gaussian,10,14.0,125.60804983229517,31.456150096111394
frisco.bmp,HEIF,gaussian,10,15.0,108.86378737541528,31.961653282681553
frisco.bmp,HEIF,gaussian,10,16.0,108.86378737541528,31.961653282681553
frisco.bmp,HEIF,gaussian,10,17.0,93.82390837508947,32.635403410008806
frisco.bmp,HEIF,gaussian,10,18.0,93.82390837508947,32.635403410008806
frisco.bmp,HEIF,gaussian,10,19.0,81.6902461826114,33.19084818120113
frisco.bmp,HEIF,gaussian,10,20.0,81.6902461826114,33.19084818120113
frisco.bmp,HEIF,gaussian,10,21.0,71.1381275440977,33.72057029415981
frisco.bmp,HEIF,gaussian,10,22.0,71.1381275440977,33.72057029415981
frisco.bmp,HEIF,gaussian,10,23.0,61.55059873209674,34.26116094403265
frisco.bmp,HEIF,gaussian,10,24.0,61.55059873209674,34.26116094403265
frisco.bmp,HEIF,gaussian,10,25.0,49.54526554526554,34.472593637690636
frisco.bmp,HEIF,gaussian,10,26.0,49.54526554526554,34.472593637690636
frisco.bmp,HEIF,gaussian,10,27.0,30.836842724385367,33.634387115871704
frisco.bmp,HEIF,gaussian,10,28.0,30.836842724385367,33.634387115871704
frisco.bmp,HEIF,gaussian,10,29.0,17.43094620652969,31.8802673088516
frisco.bmp,HEIF,gaussian,10,30.0,17.43094620652969,31.8802673088516
frisco.bmp,HEIF,gaussian,10,31.0,11.811480580337028,30.558618208145777
frisco.bmp,HEIF,gaussian,10,32.0,11.811480580337028,30.558618208145777
frisco.bmp,HEIF,gaussian,10,33.0,8.82253559048228,29.68134480081188
frisco.bmp,HEIF,gaussian,10,34.0,8.82253559048228,29.68134480081188
frisco.bmp,HEIF,gaussian,10,35.0,7.117869070569388,29.164224092998317
frisco.bmp,HEIF,gaussian,10,36.0,7.117869070569388,29.164224092998317
frisco.bmp,HEIF,gaussian,10,37.0,5.990904312452865,28.852934059475874
frisco.bmp,HEIF,gaussian,10,38.0,5.990904312452865,28.852934059475874
frisco.bmp,HEIF,gaussian,10,39.0,5.221263967175892,28.650342482832766
frisco.bmp,HEIF,gaussian,10,40.0,5.221263967175892,28.650342482832766
frisco.bmp,HEIF,gaussian,10,41.0,4.660172082770391,28.51998851428368
frisco.bmp,HEIF,gaussian,10,42.0,4.660172082770391,28.51998851428368
frisco.bmp,HEIF,gaussian,10,43.0,4.178326081066004,28.378726769306134
frisco.bmp,HEIF,gaussian,10,44.0,4.178326081066004,28.378726769306134
frisco.bmp,HEIF,gaussian,10,45.0,3.7991884057971013,28.30918380355467
frisco.bmp,HEIF,gaussian,10,46.0,3.7991884057971013,28.30918380355467
frisco.bmp,HEIF,gaussian,10,47.0,3.4938092255201183,28.221839079692774
frisco.bmp,HEIF,gaussian,10,48.0,3.4938092255201183,28.221839079692774
frisco.bmp,HEIF,gaussian,10,49.0,3.225038137886915,28.17860477403353
frisco.bmp,HEIF,gaussian,10,50.0,3.225038137886915,28.17860477403353
frisco.bmp,HEIF,gaussian,10,51.0,3.001660311680579,28.15773912196601
frisco.bmp,HEIF,gaussian,10,52.0,3.001660311680579,28.15773912196601
